Product_title,Product_description,Product_photo_filename,Price,Category
"Nike Kids' Grade School Court Borough Mid 2 Shoes, Size 6.5, Soft Khaki/Green",He'll love the retro-stylish look of the Kids' Nike Court Borough 2 High Top Sneaker. Leather upper in a casual mid top sneaker style with a round toe. Lace up closure. Heel pull loop. Padded collar. Nike Swoosh and logo details. Smooth lining cushioning insole. Durable rubber outsole.,"product_photos/Nike_Kids'_Grade_School_Court_Borough_Mid_2_Shoes,_Size_6.5,_Soft_Khaki_Green.jpg",$81,Shoes
Men's Nike Air Force 1 '07 LV8 Shoes 8.5 Phantom/Smoke Grey/Gum Yellow,"Step into style and comfort with the Men's Nike Air Force 1 '07 LV8 Shoes. These iconic sneakers feature a rich combination of high-quality leather and textile upper, delivering a modern look with classic comfort. The Air-Sole cushioning offers a lightweight, responsive step while the durable rubber outsole ensures superior traction. With its unique '07 LV8 style, the Nike Air Force 1 '07 LV8 is a fresh take on the original, adding an eye-catching element to any outfit. Experience the perfect blend of style, comfort, and performance with the Nike Air Force 1 '07 LV8.",product_photos/Men's_Nike_Air_Force_1_'07_LV8_Shoes_8.5_Phantom_Smoke_Grey_Gum_Yellow.jpg,$124.99,Shoes
"Nike Women's Court Vision Low Next Nature Shoes, Size 9, White/Green","The timeless past meets the fast-paced present with the Nike Court Vision Low. Inspired by ‘80s basketball shoes, these sneakers feature an upper made with leather, synthetic leather, and rubber that offers a retro look to your sporty rotation. Sporting old-school basketball construction and embossed Swoosh design, the Nike Court Vision Low adds a timeless touch to your on-court look. Rubber cupsole provides durability and traction.","product_photos/Nike_Women's_Court_Vision_Low_Next_Nature_Shoes,_Size_9,_White_Green.jpg",$63.97,Shoes
Nike P-6000 - White / Varsity Red / Metallic Platinum 8,"Nike P-6000 The Nike P-600 is a futuristic model. It features a design, materials and look that feels it is from a different time. It was built as a runner and works as a shoe you can take to the streets. Its cushioned construction allows Men and Women to take the Nike P-600 anywhere. Specs Breathable mesh has real and synthetic leather overlays to give a 2000s running aesthetic. Foam midsole provides lightweight cushioning for a plush underfoot feel. A full rubber outsole gives you durable traction.",product_photos/Nike_P-6000_-_White___Varsity_Red___Metallic_Platinum_8.jpg,$102.00,Shoes
Nike Dunk Low Retro (Bright Ceramic/Royal/University Red) 10,"Hawk the streets in vintage ‘80s style and modern comfort with the Nike Dunk Low. Originally released to play ball on the court, these iconic kicks level up your street style. Lightweight, durable, and extremely comfortable, these shoes are revamped with sheened overlays and original colorways. Enjoy all-day comfort for everyday wear with a modern foam midsole and padded, low-cut collar. Nike Dunk Low features: Crisp leather upper brings slight sheen and durability with an old-school look. Foam midsole offers lightweight, responsive cushioning. A padded, low-top collar makes you feel comfortable. Bold color blockings deliver a classic look. Perforations on the toe add breathability. Rubber sole with classic hoops pivot circle provides durability and traction.",product_photos/Nike_Dunk_Low_Retro_(Bright_Ceramic_Royal_University_Red)_10.jpg,$92,Shoes
"Nike Air Max Excee Women's Shoes, Size: 6, White Pure Platinum","Nike bring a modern twist to a design icon with the Nike Air Max Excee. Taking inspiration from the beloved Air Max 90, the Air Max Excess features elongated lines and distorted proportions to the upper design, modernising it. The iconic Max Air Unit remains under the heel and is now highlighted through 3 windows. It combines with the foam midsole and outsole to provide comfort while you're styling them.","product_photos/Nike_Air_Max_Excee_Women's_Shoes,_Size__6,_White_Pure_Platinum.jpg",$77,Shoes
"Nike Court Vision Low Brown Men's Shoes, Size: 9.5","This is where basketball history and the future meet: the fastbreak style of 80s basketball and the fast-paced game of today were the inspiration for the new Nike Court Vision Low. It features an upper that pays tribute to old-school basketball sneakers. The classic rubber cupsole is reminiscent of the legendary styles of the past and provides excellent traction. With the combination of leather, faux leather and rubber, form and function combine in a classic and modern way. The design of the Nike Court Vision Low is modeled after the successful style of the Nike Air Force 1, which has been one of Nike's most popular sneakers for years.","product_photos/Nike_Court_Vision_Low_Brown_Men's_Shoes,_Size__9.5.jpg",$80,Shoes
"Nike Men's Air Max Alpha Trainer 5 Shoes, Size 6.5, Black/White/Black","Stay on top of your game until the last rehearsal and finish your session with the Nike Air Max Alpha Trainer 5. The Max Air cushioning provides stability and comfort for even the most intense workouts. The wide, flat base provides stability and grip for a steady workout during tough workouts without compromising on style. The foam midsole and Max Air unit in the heel cushion your foot for lasting comfort. The foam collar protects your ankle with every move.The flat, wide sole with optimized rubber traction pattern gives you stability and grip. The rubber sides keep your foot firmly on the sole during lateral movements. Flexible grooves in the forefoot are designed for lunges.","product_photos/Nike_Men's_Air_Max_Alpha_Trainer_5_Shoes,_Size_6.5,_Black_White_Black.jpg",$89,Shoes
Nike Dunk Low Retro Green Shock,"Created for the hardwood but taken to the streets, this '80s icon returns with classic details and throwback hoops flair. The smooth leather upper provides a durable, premium look and feel while special Swoosh logos feature colors that shift subtly as you move. Plus, its padded, low-cut collar lets you take your game anywhere—in comfort. Benefits Leather upper ages to soft perfection and features durable construction reminiscent of '80s basketball. Padded, low-cut collar adds a sleek look that feels comfortable. Foam midsole offers lightweight, responsive cushioning. Rubber sole with classic hoops pivot circle adds durability, traction and heritage style. Nike Dunk Born from a series of mash-ups, hacks and tight deadlines, the Nike Dunk landed on college basketball courts during the '85–'86 season. While the original College Colors designs helped you stay true to your school, the Dunk didn't prove to be popular. But it was this humble sneaker's lack of popularity—and flat, grippy soles—that helped it jump the rails to captivate skateboarders. Decades later, this everyday favorite continues to be snatched up in countless colorways, proving its influence is undeniable.",product_photos/Nike_Dunk_Low_Retro_Green_Shock.jpg,$100,Shoes
"Nike Women's Court Legacy Lift Shoes in White, Size: 10 | FV5526-100","Step up your style with the Nike Court Legacy Lift 'White Vintage Green Gum' (FV5526‐100). These women's sneakers elevate your look with a sophisticated blend of classic and contemporary design. Featuring a crisp white leather upper, vintage green accents, and a gum outsole, they offer a timeless and stylish aesthetic. The platform sole adds height and provides a comfortable stride, making these sneakers perfect for both on and off the court. Experience the perfect fusion of fashion and functionality with the Nike Court Legacy Lift 'White Vintage Green Gum' sneakers.","product_photos/Nike_Women's_Court_Legacy_Lift_Shoes_in_White,_Size__10___FV5526-100.jpg",$56,Shoes
Nike Dunk Low Concord (GS),"Designed for basketball but adopted by skaters, the Nike Dunk Low helped define sneaker culture. Now this mid-'80s icon is an easy score for your closet. With ankle padding and durable rubber traction, these are a slam dunk whether you're learning to skate or getting ready for school. Made to Last Real and synthetic leather is durable and adds a classic feel. Heritage Look Collar and tongue pair with perforations on the toe area to give these sneakers an iconic look rooted in the original Dunk. All-Day Traction Full-length rubber outsole provides durable traction and features a traction pattern similar to the original. Product Details Classic laces Cupsole construction Nike Dunk Born from a series of mash-ups, hacks and tight deadlines, the Nike Dunk landed on college basketball courts during the '85–'86 season. While the original College Colors designs helped you stay true to your school, the Dunk didn't prove to be popular. But it was this humble sneaker's lack of popularity—and flat, grippy soles—that helped it jump the rails to captivate skateboarders. Decades later, this everyday favorite continues to be snatched up in countless colorways, proving its influence is undeniable.",product_photos/Nike_Dunk_Low_Concord_(GS).jpg,$90.00,Shoes
"Nike Kids' Grade School Flex Runner 3 Shoes, Size 1.5, White/Platinum",A stretchy bootie design provides a snug fit while ensuring these are easy to slip on and off. Real and synthetic leather overlays work with a heel strap to help provide support and durability. Foam wraps around the heel to help provide stability when you quickly shift direction. Multiple tread patterns help provide durable multi-surface traction. Breathable mesh keeps the shoe lightweight and helps your feet stay cool. Pull tabs on the heel and tongue help make the shoe easy to take on and off.,"product_photos/Nike_Kids'_Grade_School_Flex_Runner_3_Shoes,_Size_1.5,_White_Platinum.jpg",$55.00,Shoes
"Nike Court Legacy Canvas Men's Shoes, Black/White, Size: 13",Serve up classic tennis style in the Men's Nike Court Legacy Canvas Sneaker. Canvas upper in a lifestyle sneaker style with a round toe. Lace-up closure with metal eyelets. Padded collar and tongue for increased comfort. Soft lining with cushioned insole. Soft foam cushioning brings lightweight comfort. Durable rubber outsole with herringbone pattern.,"product_photos/Nike_Court_Legacy_Canvas_Men's_Shoes,_Black_White,_Size__13.jpg",$60.00,Shoes
